timestamp,TEMP_PDU,BUS_VOLTAGE,LOAD_CURRENT,label
2025-11-10 00:00:00,47.99,28.08,2.88,normal
2025-11-10 00:00:10,42.27,28.98,4.87,normal
2025-11-10 00:00:20,40.94,28.36,1.61,normal
2025-11-10 00:00:30,48.73,29.13,2.53,normal
2025-11-10 00:00:40,54.98,28.65,3.76,normal
2025-11-10 00:00:50,90.97,25.05,7.48,anomal
2025-11-10 00:01:00,42.16,29.41,3.45,normal
2025-11-10 00:01:10,45.0,29.45,2.76,normal
2025-11-10 00:01:20,44.31,29.1,1.37,normal
2025-11-10 00:01:30,50.42,29.42,3.64,normal
2025-11-10 00:01:40,49.22,28.65,2.96,normal
2025-11-10 00:01:50,65.96,29.65,3.46,normal
2025-11-10 00:02:00,49.73,29.23,4.09,normal
2025-11-10 00:02:10,60.84,29.61,4.82,normal
2025-11-10 00:02:20,57.95,29.8,1.66,normal
2025-11-10 00:02:30,46.69,28.77,3.15,normal
2025-11-10 00:02:40,61.08,28.97,3.19,normal
2025-11-10 00:02:50,50.82,29.21,4.9,normal
2025-11-10 00:03:00,48.54,29.64,1.44,normal
2025-11-10 00:03:10,62.27,28.09,4.4,normal
2025-11-10 00:03:20,59.14,29.87,2.15,normal
2025-11-10 00:03:30,53.68,28.61,4.41,normal
2025-11-10 00:03:40,54.58,28.86,1.72,normal
2025-11-10 00:03:50,45.71,28.89,3.7,normal
2025-11-10 00:04:00,55.08,29.05,3.39,normal
2025-11-10 00:04:10,56.11,29.65,2.81,normal
2025-11-10 00:04:20,47.39,29.61,3.21,normal
2025-11-10 00:04:30,61.18,29.79,2.7,normal
2025-11-10 00:04:40,67.43,29.19,4.18,normal
2025-11-10 00:04:50,51.9,29.92,3.78,normal
2025-11-10 00:05:00,55.57,28.5,1.93,normal
2025-11-10 00:05:10,40.55,28.21,4.37,normal
2025-11-10 00:05:20,40.26,28.0,2.24,normal
2025-11-10 00:05:30,60.94,29.4,3.0,normal
2025-11-10 00:05:40,41.08,29.06,4.89,normal
2025-11-10 00:05:50,47.36,28.58,3.34,normal
2025-11-10 00:06:00,90.51,31.31,1.86,anomal
2025-11-10 00:06:10,56.22,29.48,1.53,normal
2025-11-10 00:06:20,64.68,28.56,3.59,normal
2025-11-10 00:06:30,46.93,28.98,2.32,normal
2025-11-10 00:06:40,58.74,28.01,4.92,normal
2025-11-10 00:06:50,61.69,28.59,1.2,normal
2025-11-10 00:07:00,47.35,28.24,1.12,normal
2025-11-10 00:07:10,46.28,28.88,2.73,normal
2025-11-10 00:07:20,51.65,28.18,2.81,normal
2025-11-10 00:07:30,56.24,29.97,3.58,normal
2025-11-10 00:07:40,52.26,29.94,2.55,normal
2025-11-10 00:07:50,64.06,29.12,1.11,normal
2025-11-10 00:08:00,63.3,28.16,1.67,normal
2025-11-10 00:08:10,66.54,28.55,3.31,normal
2025-11-10 00:08:20,62.86,28.46,1.27,normal
2025-11-10 00:08:30,51.84,28.02,4.4,normal
2025-11-10 00:08:40,96.07,27.64,5.63,anomal
2025-11-10 00:08:50,51.1,28.31,2.79,normal
2025-11-10 00:09:00,56.42,29.18,1.74,normal
2025-11-10 00:09:10,45.96,29.3,3.36,normal
2025-11-10 00:09:20,48.92,29.57,4.87,normal
2025-11-10 00:09:30,52.78,29.22,3.34,normal
2025-11-10 00:09:40,42.86,29.06,2.14,normal
2025-11-10 00:09:50,51.43,29.19,2.41,normal
2025-11-10 00:10:00,43.23,29.63,1.2,normal
2025-11-10 00:10:10,41.38,28.22,3.99,normal
2025-11-10 00:10:20,60.37,28.23,4.1,normal
2025-11-10 00:10:30,44.37,28.0,2.09,normal
2025-11-10 00:10:40,62.73,28.07,1.83,normal
2025-11-10 00:10:50,46.39,29.91,4.9,normal
2025-11-10 00:11:00,54.48,29.8,3.28,normal
2025-11-10 00:11:10,43.24,28.32,2.79,normal
2025-11-10 00:11:20,45.05,28.79,2.96,normal
2025-11-10 00:11:30,43.24,29.27,3.38,normal
2025-11-10 00:11:40,60.81,29.24,4.52,normal
2025-11-10 00:11:50,53.8,29.93,3.71,normal
